text,label,label_raw,speaker,image_path
"“Under federal law, you cannot engage in partisan gerrymandering.”",Fake,false,Fentrice Driskell,news_images\news_1_0.jpg
Imagen muestra que “950 inmigrantes derrumbaron el muro fronterizo entre México y Estados Unidos intentando ingresar a Estados Unidos” en abril 2026.,Fake,false,Instagram posts,news_images\news_1_1.jpg
"“As a result of the 'Big Beautiful Bill' 15 million Americans have been thrown off the healthcare that they need.""",Fake,barely-true,Bernie Sanders,news_images\news_1_2.jpg
“Secret Service remains unpaid” during the partial government shutdown.,Fake,false,Tim Scott,news_images\news_1_3.jpg
Video shows “unedited raw security footage” of the shooter at the April 25 White House Correspondents’ Association dinner.,Fake,false,Social Media,news_images\news_1_4.jpg
"“Tras el atentado a Trump”, en la cena de corresponsales de la Casa Blanca el 25 de abril, “Irán lanza un mensaje fuerte: ‘no le crean nada, miente’”.",Fake,false,Social Media,news_images\news_1_5.jpg
"U.S. Rep. Byron Donalds voted ""against three pay raises for military service members, including the largest pay raise for the military in 22 years.""",Fake,barely-true,Jay Collins,news_images\news_1_6.jpg
"“With one dose of ibogaine, more than 80% of people are free of (opioid) addiction. With two doses, it's more than 90%.”",Fake,barely-true,Joe Rogan,news_images\news_1_7.jpg
Video shows President Donald Trump at the Walter Reed National Military Medical Center.,Fake,false,Facebook posts,news_images\news_1_8.jpg
"Video shows the United States’ April 19, 2026, strike on an Iranian cargo ship.",Fake,false,Social Media,news_images\news_1_9.jpg
"El papa León XIV ""pide destituir a Donald Trump"".",Fake,false,Social Media,news_images\news_1_10.jpg
“Thom Tillis is no longer a senator.”,Fake,false,Donald Trump,news_images\news_1_11.jpg
“Moulton voted with Republicans to thank ICE for protecting our homeland. He thanked ICE as they were terrorizing our communities and killed citizens in broad daylight.”,Fake,barely-true,Commonwealth Together PAC,news_images\news_1_12.jpg
Photos and clips show the moon from Artemis II.,Fake,false,Social Media,news_images\news_1_13.jpg
Video shows a US soldier crying and saying she misses home and her family.,Fake,false,Social Media,news_images\news_1_14.jpg
"As Nassau County Executive, I hired 600 new law enforcement officers and made Nassau the safest county in America.",Fake,barely-true,Bruce Blakeman,news_images\news_1_15.jpg
“We've had regime change.”,Fake,barely-true,Donald Trump,news_images\news_2_0.jpg
Video shows ICE agent removing “US citizen on a plane for being Latino.”,Fake,false,Facebook posts,news_images\news_2_1.jpg
Image shows President Donald Trump asked Florida Gov. Ron DeSantis on Truth Social to pardon Tiger Woods following a DUI charge.,Fake,false,Social Media,news_images\news_2_2.jpg
Video shows Israelis fleeing to Cyprus.,Fake,false,Social Media,news_images\news_2_3.jpg
"""Youth underemployment for college grads is 70%"" nationwide.",Fake,false,James Fishback,news_images\news_2_4.jpg
“You can't shovel snow in New York City without an ID.”,Fake,barely-true,Katie Britt,news_images\news_2_5.jpg
"“In the modern era, no American president has ordered more military strikes against as many different countries as Donald Trump.”",Real,true,Elizabeth Warren,news_images\news_2_6.jpg
Florida school districts are the “biggest” drivers of increased property taxes.,Fake,barely-true,Byron Donalds,news_images\news_2_7.jpg
Video shows toddler crying over casket of American service member killed in Iran.,Fake,false,Social Media,news_images\news_2_8.jpg
El líder de Corea del Norte Kim Jong Un dijo que “ningún Dios podrá proteger a Estados Unidos de nuestras nuevas armas”.,Fake,false,TikTok posts,news_images\news_2_9.jpg
"""BREAKING: So the Israeli media reports Itamar Ben‑Gvir died in a 'car crash,' while in fact he’s been obliterated by an Iranian missile strike on his home.""",Fake,false,X posts,news_images\news_2_10.jpg
Iran “also has some Tomahawks.”,Fake,false,Donald Trump,news_images\news_2_11.jpg
“El régimen de Irán ha confesado que (el Cuerpo de la Guardia Revolucionaria Islámica) bombardeó por error… una escuela iraní” el 28 de febrero.,Fake,false,X posts,news_images\news_2_12.jpg
Iran released a list of U.S. cities it will target.,Fake,false,Social Media,news_images\news_2_13.jpg
"The Biden administration ""reversed"" a policy of deporting people in the country illegally who have committed felonies.",Fake,false,Ashley Moody,news_images\news_2_14.jpg
The 2015 Iran nuclear agreement “gave (Iran) the right to have top-of-the-line nuclear weapons.”,Fake,false,Donald Trump,news_images\news_2_15.jpg
"Video shows a US air base in Riyadh, Saudi Arabia, being destroyed by Iran.",Fake,false,X posts,news_images\news_2_16.jpg
"NC state Sen. Phil Berger, R-Rockingham, “killed a bill banning sex-change surgeries for minors.”",Fake,barely-true,Guilford-Rockingham Alliance,news_images\news_2_17.jpg
“The regime in Iran has now confessed that the (Islamic Revolutionary Guard Corps) mistakenly bombed an Iranian school yesterday.”,Fake,false,X posts,news_images\news_3_0.jpg
"“Israeli shooter opened fire inside an Austin (Texas) bar” on March 1, 2026.",Fake,false,X posts,news_images\news_3_1.jpg
An Instagram video shows a New York City man sculpting a car out of snow.,Fake,false,Instagram posts,news_images\news_3_2.jpg
Says Sam Page “got busted calling Trump’s (immigration) plan unrealistic.”,Fake,false,NC True Conservatives PAC,news_images\news_3_3.jpg
"Imagen muestra a Puerto Vallarta, México, después de la muerte de Nemesio “El Mencho” Oseguera Cervantes, el líder del Cártel Jalisco Nueva Generación.",Fake,false,Social Media,news_images\news_3_4.jpg
"After U.S. vessel strikes in the Caribbean Sea and Pacific Ocean, “drugs entering our country by sea are down 97%.”",Fake,false,Donald Trump,news_images\news_3_5.jpg
"Image shows Puerto Vallarta, Mexico, after the killing of Nemesio “El Mencho” Oseguera Cervantes, the head of Jalisco New Generation Cartel.",Fake,false,Social Media,news_images\news_3_6.jpg
Says “90% of health care spending treats chronic disease.”,Fake,false,Robert F. Kennedy Jr.,news_images\news_3_7.jpg
"Savannah Guthrie's husband’s company is listed as a ""co conspirator"" in the Epstein files, “in case you're wondering why now of all times for (her) mother to be 'kidnapped.'""",Fake,false,X posts,news_images\news_3_8.jpg
"Crime in Minneapolis “is down 25, 30% because we’ve removed thousands of criminals from the area.”",Fake,barely-true,Donald Trump,news_images\news_3_9.jpg
"“Durante su presentación en el Super Bowl, Bad Bunny le regaló su premio Grammy a Liam Conejo Ramos”, el niño de 5 años que fue detenido por ICE.",Fake,false,Social Media,news_images\news_3_10.jpg
"During the Super Bowl halftime show, “Bad Bunny brought Liam Conejo Ramos onto the stage,” the 5-year-old detained by Immigration and Customs Enforcement in Minneapolis.",Fake,false,Social Media,news_images\news_3_11.jpg
"""Right now we're focused on Minneapolis because that's where we have the highest concentration of people who have violated our immigration laws.""",Fake,false,JD Vance,news_images\news_4_0.jpg
"An image shows Alex Pretti holding a gun, not a phone, while pinned by federal immigration agents in Minneapolis.",Fake,false,X posts,news_images\news_4_1.jpg
“You cannot bring a firearm loaded with multiple magazines to any sort of protest that you want. It’s that simple.”,Fake,barely-true,Kash Patel,news_images\news_4_2.jpg
Protesters against the federal immigration crackdown in Minnesota are conducting “fake protests done by agitators and professional insurrectionists. …They're professional troublemakers.”,Fake,false,Donald Trump,news_images\news_4_3.jpg
Trees can explode if temperatures drop to 20 degrees below zero.,Fake,barely-true,Social Media,news_images\news_4_4.jpg
"“Trump’s $2,000 tariff dividend is live but you must act.”",Fake,false,Major Gross Profit,news_images\news_4_5.jpg
"Video showing a vacant lot at a Venice, California, address where 26 voters were registered exposes voter fraud.",Fake,false,Benny Johnson,news_images\news_4_6.jpg
The former U.S. childhood vaccine schedule called for babies to get “72 injections.”,Fake,false,Donald Trump,news_images\news_4_7.jpg
A letter sent to postal service employees about working during emergencies such as civil unrest is a sign that President Donald Trump will impose martial law.,Fake,false,Social Media,news_images\news_4_8.jpg
"“By federal law, if you sign someone up for Medicaid, you also give them the right to vote. … This is political patronage at the expense of Medicaid.”",Fake,false,Mehmet Oz,news_images\news_4_9.jpg
"""If we stop this fraud, this massive fraud, we're going to have a balanced budget.""",Fake,false,Donald Trump,news_images\news_4_10.jpg
A document shows Minnesota shooting victim Renee Good had a record of child abuse.,Fake,false,Social Media,news_images\news_4_11.jpg
Credit card companies would be “in violation of the law” if they don’t cap interest rates at 10% by Jan. 20.,Fake,false,Donald Trump,news_images\news_4_12.jpg
Viral photo shows the woman killed by an ICE agent Jan. 7 in Minneapolis.,Fake,false,Social Media,news_images\news_4_13.jpg
Maduro was “flooding America with deadly fentanyl.”,Fake,false,Donald Trump,news_images\news_4_14.jpg
Venezuelan leader Nicolás Maduro “was releasing people from his prisons and sending them to our southern border under the Biden administration.”,Fake,false,Ron DeSantis,news_images\news_4_15.jpg
"Video shows “leaked Donald Trump audio about the Epstein files and Venezuela.""",Fake,false,Facebook posts,news_images\news_4_16.jpg
Gov. Tim Walz had Democratic lawmaker Melissa Hortman killed.,Fake,false,Donald Trump,news_images\news_4_17.jpg
Video shows “millions of Venezuelans flooded the streets of Caracas” to celebrate Nicolás Maduro’s capture.,Fake,false,Alex Jones,news_images\news_4_18.jpg
Brown University student Mustapha Karbouch was a suspect in school shooting.,Fake,false,Social Media,news_images\news_4_19.jpg
Image shows Rob Reiner tweeted in 2023 that he would stop posting until “Trump goes to prison.”,Fake,false,Laura Loomer,news_images\news_4_20.jpg
The U.S. has received promises of investments totaling $18 trillion to $22 trillion since January.,Fake,false,Donald Trump,news_images\news_5_0.jpg
“I take responsibility for putting people in jail” in Minnesota fraud scandal.,Fake,false,Tim Walz,news_images\news_5_1.jpg
"Any pardon signed with an autopen is now ""fully and completely terminated, and is of no legal effect.""",Fake,false,Donald Trump,news_images\news_5_2.jpg
A new North Carolina law “prohibits the use of wireless communication devices while driving.”,Fake,false,Facebook posts,news_images\news_5_3.jpg
"“This Thanksgiving, turkey prices are at their lowest point since 2000.”",Fake,false,Richard Hudson,news_images\news_5_4.jpg
“I have just gotten the highest poll numbers of my ‘political career.’”,Fake,false,Donald Trump,news_images\news_5_5.jpg
"“There’s about 1,400 criminal illegal aliens that, right now, are in North Carolina and Charlotte’s jails that they refuse to turn over to ICE law enforcement.”",Fake,false,Tricia McLaughlin,news_images\news_5_6.jpg
West Virginia is “the only state losing population.”,Fake,false,Kayla Young,news_images\news_5_7.jpg
Housing is expensive “because we flooded the country with 30 million illegal immigrants” and because of a housing shortage.,Fake,barely-true,JD Vance,news_images\news_5_8.jpg
Video shows President Donald Trump patting President Bill Clinton’s crotch.,Fake,false,TikTok posts,news_images\news_5_9.jpg
“Evidence suggests that 1 in 25 women who consume (abortion) pills are hospitalized.”,Fake,barely-true,James Uthmeier,news_images\news_5_10.jpg
“My tariffs … are helping to slash the deficit this year by more than 25%.”,Fake,false,Donald Trump,news_images\news_5_11.jpg
Walmart’s 2025 package of Thanksgiving dinner ingredients shows a “25% reduction in costs for Thanksgiving between (President Joe) Biden and me.”,Fake,barely-true,Donald Trump,news_images\news_5_12.jpg
“North Carolina teachers are already the lowest paid teachers in the south.”,Fake,barely-true,Anderson Clayton,news_images\news_5_13.jpg
“RFK Jr. flees the scene after Novo Nordisk Executive Gordon Findlay collapsed in the Oval Office.”,Fake,false,X posts,news_images\news_5_14.jpg
"New York state has ""no ID requirement"" to vote, and people could lie about their address and ""vote in multiple precincts.""",Fake,barely-true,X posts,news_images\news_5_15.jpg
“The New York City ballot form is a scam” because “mayoral candidates appear twice.”,Fake,false,Elon Musk,news_images\news_5_16.jpg
"The federal government “decided to shut down the SNAP machines, so that they can’t be used.”",Fake,false,JB Pritzker,news_images\news_5_17.jpg
The majority of Supplemental Nutrition Assistance Program recipients are not U.S. citizens.,Fake,false,X posts,news_images\news_5_18.jpg
"“To all ICE officers, you have federal immunity in the conduct of your duties.”",Fake,barely-true,Stephen Miller,news_images\news_6_0.jpg
"Video shows Hurricane Melissa hitting Jamaica on Oct. 26, 2025.",Fake,false,X posts,news_images\news_6_1.jpg
"An ad from the government of Ontario, Canada, “misrepresents” President Ronald Reagan’s April 25, 1987, address about tariffs.",Fake,barely-true,The Ronald Reagan Presidential Foundation and Institute,news_images\news_6_2.jpg
"“The Trump administration just declared that erecting a ballroom is the president’s main priority,” rather than issues such as the cost of living and health care.",Fake,false,Hakeem Jeffries,news_images\news_6_3.jpg
"“Fifty percent of the presidents, almost, have used (the Insurrection Act). And that's unquestioned power.”",Fake,barely-true,Donald Trump,news_images\news_6_4.jpg
"""Political violence, it's just a statistical fact that it's a bigger problem on the left.”",Fake,barely-true,JD Vance,news_images\news_6_5.jpg
Democrats are “dishonestly sending around a video from 2017” claiming it was an Oct. 18 ‘No Kings’ rally in Boston.,Fake,false,Ted Cruz,news_images\news_6_6.jpg
Un video muestra un “arresto por robo que la policía de Chicago realizó hace más de un año”.,Fake,false,Tricia McLaughlin,news_images\news_6_7.jpg
"As the Trump administration pursues mortgage fraud charges against Letitia James, “there are three Cabinet members who committed mortgage fraud that he’s just letting fly.”",Fake,barely-true,Dan Koh,news_images\news_6_8.jpg
"“Trump’s budget called for a $300 (million) cut” to the Women, Infants and Children program.",Real,true,James Clyburn,news_images\news_6_9.jpg
“Vaccine makers are exempt from all liability for vaccine injury and death.”,Fake,barely-true,West Virginians For Health Freedom,news_images\news_6_10.jpg
A video shows a “burglary arrest Chicago Police made over a year ago.”,Fake,false,Tricia McLaughlin,news_images\news_6_11.jpg
"“If you vote no on Prop 50 to stop the redistricting, it shows through the envelope,” making it easy for Democrats to cheat.",Fake,barely-true,X posts,news_images\news_6_12.jpg
“It's going to be the biggest infusion of federal dollars into rural health care in American history.”,Fake,barely-true,Robert F. Kennedy Jr.,news_images\news_6_13.jpg
"“As a condition for ending the Democrat shutdown, Democrats want hospitals (to be) paid MORE to treat illegal aliens than American citizens.”",Fake,false,Mike Johnson,news_images\news_6_14.jpg
“The FBI tapped my phone” and those of other senators.,Fake,barely-true,Josh Hawley,news_images\news_6_15.jpg
Democrats shut down the government because they want “health care for illegal aliens and funding for free abortions.”,Fake,false,Rick Scott,news_images\news_6_16.jpg
“Portland is burning to the ground.”,Fake,false,Donald Trump,news_images\news_6_17.jpg
“Los demócratas están amenazando con cerrar todo el gobierno porque quieren dar cientos de miles de millones de dólares en beneficios de cuidado de salud a los inmigrantes ilegales”.,Fake,false,JD Vance,news_images\news_6_18.jpg
“Democrats are threatening to shut down the entire government because they want to give hundreds of billions of dollars of health care benefits to illegal aliens.”,Fake,false,JD Vance,news_images\news_7_0.jpg
"""Republicans have effectively ended medical research in the United States of America.""",Fake,barely-true,Hakeem Jeffries,news_images\news_7_1.jpg
"Small children are given ""80 different vaccines.""",Fake,false,Donald Trump,news_images\news_7_2.jpg
“Erika Kirk is banned from Romania because her Evangelical group was accused of trafficking children out of Romanian villages.”,Fake,false,X posts,news_images\news_7_3.jpg
The U.S. currently has “no inflation.”,Fake,false,Donald Trump,news_images\news_7_4.jpg
“I have ended seven unendable wars.”,Fake,barely-true,Donald Trump,news_images\news_7_5.jpg
"There was not “a single, prominent conservative voice in the country that even remotely wanted or hoped or was pushing to get Jimmy Kimmel taken off the air.”",Fake,false,Sean Hannity,news_images\news_7_6.jpg
Former President Barack Obama eliminated a law that “held news corporations accountable for lying to the American people.”,Fake,false,Social Media,news_images\news_7_7.jpg
“North Carolina has just approved a law permitting foreign doctors to practice without completing U.S. training or licensing exams.”,Fake,barely-true,X posts,news_images\news_7_8.jpg
Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,Fake,false,Michael Whatley,news_images\news_7_9.jpg
A book on Amazon titled “The Shooting of Charlie Kirk” with a Sept. 9 publication date is evidence the event was staged.,Fake,false,X posts,news_images\news_7_10.jpg
"“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”",Fake,false,U.S. Energy Department,news_images\news_7_11.jpg
Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”,Fake,false,TikTok posts,news_images\news_7_12.jpg
“Everybody can get” the COVID-19 vaccine.,Fake,barely-true,Robert F. Kennedy Jr.,news_images\news_7_13.jpg
President Donald Trump’s “official schedule was suddenly suspended.”,Fake,false,X posts,news_images\news_7_14.jpg
The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,Fake,false,James Uthmeier,news_images\news_7_15.jpg
"In Washington, D.C., “We always have a murder a week.”",Fake,false,Donald Trump,news_images\news_8_0.jpg
"""If you go back to World War II, if you go back to World War I, if you go back to every major conflict in human history, they all end with some kind of negotiation.""",Fake,false,JD Vance,news_images\news_8_1.jpg
An Aug. 23 video shows “the military’s already showing up in Chicago” before a potential National Guard deployment.,Fake,false,X posts,news_images\news_8_2.jpg
“We had the biggest tax cut for families that this country has ever seen.”,Fake,barely-true,JD Vance,news_images\news_8_3.jpg
"TikTok videos show police clearing out homeless encampments in Washington, D.C.",Fake,false,TikTok posts,news_images\news_8_4.jpg
"With voting machines, ""They say we're going to have the results in two weeks. With paper ballots, you have the results that night.""",Fake,false,Donald Trump,news_images\news_8_5.jpg
“We are now the only country in the world that uses mail-in voting.”,Fake,false,Donald Trump,news_images\news_8_6.jpg
"Washington, D.C., has 41 homicides per 100,000 people, “No. 1 that we can find anywhere in the world.”",Fake,false,Donald Trump,news_images\news_8_7.jpg
“Promises kept: negative net migration (in the U.S.) for the first time in 50 years!”,Fake,barely-true,Donald Trump,news_images\news_8_8.jpg
The official U.S. government website erased sections of the U.S. Constitution without amending it.,Fake,false,Threads posts,news_images\news_8_9.jpg
"Osos pardos, bisontes y pumas están huyendo del Parque Nacional de Yellowstone hacia Salt Lake City, Utah.",Fake,false,TikTok posts,news_images\news_8_10.jpg
“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,Fake,false,John Blust,news_images\news_8_11.jpg
"Elk, grizzly bears, bison and mountain lions are fleeing Yellowstone National Park to Salt Lake City, Utah.",Fake,false,TikTok posts,news_images\news_8_12.jpg
“I’ve stopped six wars” since taking office in January 2025.,Fake,barely-true,Donald Trump,news_images\news_8_13.jpg
"President Donald Trump “made 4,725 wire transfers” to Jeffrey Epstein, totaling nearly $1.1 billion.",Fake,false,Social Media,news_images\news_8_14.jpg
"“Home Depot signed a deal that pays them $250 million with DHS, allowing ICE agents to stake out their parking lots and arrest immigrants.”",Fake,false,Threads posts,news_images\news_8_15.jpg
“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,Real,true,Francesca Hong,news_images\news_8_16.jpg
Suspect in July 28 New York City shooting “was shouting Free Palestine and wearing a Keffiyeh.”,Fake,false,X posts,news_images\news_8_17.jpg
Democrats paid Beyoncé $11 million for an endorsement.,Fake,false,Donald Trump,news_images\news_8_18.jpg
The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,Fake,false,Markwayne Mullin,news_images\news_9_0.jpg
"Images show “Egyptian youth who put some food, baby formula, rice, and flour in bottles and threw them into the sea, hoping it would reach Gaza.”",Fake,false,Social Media,news_images\news_9_1.jpg
Tariffs are “going to pay off our deficit.”,Fake,false,Howard Lutnick,news_images\news_9_2.jpg
